PKK,no_pkk_inaportnet,keterangan
"","PKK.DN.IDBJU.2305.000058","Permohonan PPKB dibatalkan oleh agen pelayaran"
"","PKK.DN.IDBJU.2306.000028","Ada pembatalan PPKB oleh agen pelayaran"
"","PKK.DN.IDBJU.2306.000064","Tida ada layanan pemanduan dan penundaan di area labuh"
"","PKK.DN.IDBJU.2307.000104","Ada pembatalan PPKB oleh agen pelayaran"
"","PKK.DN.IDBJU.2307.000110","Tidak ada layanan pemanduan dan penundaan di area labuh"
"","PKK.DN.IDBJU.2310.000113","Tidak ada layanan pemanduan dan penundaan di area labuh"
"","PKK.DN.IDBJU.2311.000080","Tidak ada layanan pemanduan dan penundaan di area labuh"
"","PKK.DN.IDBJU.2311.000144","Tidak ada layanan pemanduan dan penundaan di area labuh"
"","PKK.DN.IDBJU.2401.000073","Ada pembatalan PPKB oleh agen pelayaran"
"","PKK.DN.IDBJU.2402.000100","Tidak ada layanan pemanduan dan penundaan di area labuh"
"","PKK.DN.IDBJU.2406.000156","Tidak ada layanan pemanduan dan penundaan di area labuh"
"","PKK.DN.IDBJU.2407.000017","Tidak ada layanan pemanduan dan penundaan di area labuh"
"","PKK.DN.IDBJU.2407.000085","Tidak ada layanan pemanduan dan penundaan di area labuh"
"","PKK.DN.IDBJU.2407.000169","Tidak ada layanan pemanduan dan penundaan di area labuh"
"","PKK.DN.IDBJU.2409.000082","Sudah jadi nota dengan Invoice Number 010.12213.24.00004005R3"
