active,code_per_water_name,created_at,currency_name,description,end_date,fixed_rate,gt_group_name,id,id_gt_group,index,movement_type,name_branch,pilot_type_name,start_date,status,timezones,total,total_page,uper_multiplication_name,variable_rate,zone_name
1,DALAM PERAIRAN,2022-11-18 15:54,Rupiah,Rp. In out dlm perairan,2026-12-31 23:59,225000,,1209,,1,SHIFTING,REGIONAL 3 TANJUNG PERAK,PANDU BANDAR,2022-08-22 23:01,TARIF AKTIF,Asia/Jakarta,12,1,110,45,ZONA GRESIK
1,DALAM PERAIRAN,2022-11-18 15:54,Dollar,US$. In out dlm perairan,2026-12-31 23:59,102,,1213,,2,SHIFTING,REGIONAL 3 TANJUNG PERAK,PANDU BANDAR,2022-08-22 23:01,TARIF AKTIF,Asia/Jakarta,12,1,110,0.03,ZONA GRESIK
1,DALAM PERAIRAN,2022-11-18 15:54,Rupiah,Rp. In out dlm perairan,2026-12-31 23:59,225000,,1210,,3,DEPARTURE,REGIONAL 3 TANJUNG PERAK,PANDU BANDAR,2022-08-22 23:01,TARIF AKTIF,Asia/Jakarta,12,1,110,45,ZONA GRESIK
1,DALAM PERAIRAN,2022-11-18 15:54,Dollar,US$. In out dlm perairan,2026-12-31 23:59,102,,1211,,4,DEPARTURE,REGIONAL 3 TANJUNG PERAK,PANDU BANDAR,2022-08-22 23:01,TARIF AKTIF,Asia/Jakarta,12,1,110,0.03,ZONA GRESIK
1,DALAM PERAIRAN,2022-11-18 15:54,Rupiah,Rp. In out dlm perairan,2026-12-31 23:59,225000,,1208,,5,ARRIVE,REGIONAL 3 TANJUNG PERAK,PANDU BANDAR,2022-08-22 23:01,TARIF AKTIF,Asia/Jakarta,12,1,110,45,ZONA GRESIK
1,DALAM PERAIRAN,2022-11-18 15:54,Dollar,US$. In out dlm perairan,2026-12-31 23:59,102,,117,,6,ARRIVE,REGIONAL 3 TANJUNG PERAK,PANDU BANDAR,2022-08-22 23:01,TARIF AKTIF,Asia/Jakarta,12,1,110,0.03,ZONA SURABAYA
1,DALAM PERAIRAN,2022-11-18 15:54,Rupiah,Rp. In out dlm perairan,2026-12-31 23:59,225000,,181,,7,SHIFTING,REGIONAL 3 TANJUNG PERAK,PANDU BANDAR,2022-08-22 23:01,TARIF AKTIF,Asia/Jakarta,12,1,110,45,ZONA SURABAYA
1,DALAM PERAIRAN,2022-11-18 15:54,Dollar,US$. In out dlm perairan,2026-12-31 23:59,102,,183,,8,SHIFTING,REGIONAL 3 TANJUNG PERAK,PANDU BANDAR,2022-08-22 23:01,TARIF AKTIF,Asia/Jakarta,12,1,110,0.03,ZONA SURABAYA
1,DALAM PERAIRAN,2022-11-18 15:54,Rupiah,Rp. In out dlm perairan,2026-12-31 23:59,225000,,182,,9,DEPARTURE,REGIONAL 3 TANJUNG PERAK,PANDU BANDAR,2022-08-22 23:01,TARIF AKTIF,Asia/Jakarta,12,1,110,45,ZONA SURABAYA
1,DALAM PERAIRAN,2022-11-18 15:54,Dollar,US$. In out dlm perairan,2026-12-31 23:59,102,,119,,10,DEPARTURE,REGIONAL 3 TANJUNG PERAK,PANDU BANDAR,2022-08-22 23:01,TARIF AKTIF,Asia/Jakarta,12,1,110,0.03,ZONA SURABAYA
1,DALAM PERAIRAN,2022-11-18 15:54,Rupiah,Rp. In out dlm perairan,2026-12-31 23:59,225000,,118,,11,ARRIVE,REGIONAL 3 TANJUNG PERAK,PANDU BANDAR,2022-08-22 23:01,TARIF AKTIF,Asia/Jakarta,12,1,110,45,ZONA SURABAYA
1,DALAM PERAIRAN,2022-11-18 15:54,Dollar,US$. In out dlm perairan,2026-12-31 23:59,102,,1212,,12,ARRIVE,REGIONAL 3 TANJUNG PERAK,PANDU BANDAR,2022-08-22 23:01,TARIF AKTIF,Asia/Jakarta,12,1,110,0.03,ZONA GRESIK
